比较,序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费,可购全部
,1,019457,平安先进制造,07-01,1.6142,1.6142,-0.44%,2.11%,4.21%,0.54%,52.64%,95.92%,---,---,52.64%,61.42%,95.92%,0.15%,
,2,019458,平安先进制造,07-01,1.5982,1.5982,-0.44%,2.10%,4.15%,0.39%,52.20%,94.76%,---,---,52.20%,59.82%,94.76%,0.00%,
,3,006603,嘉实互融精选,07-01,1.8884,1.8884,2.03%,-0.87%,8.50%,21.44%,63.51%,84.61%,73.01%,67.49%,63.51%,88.84%,84.61%,0.15%,
,4,020232,嘉实互融精选,07-01,1.8746,1.8746,2.03%,-0.87%,8.38%,21.22%,63.07%,83.80%,---,---,63.07%,47.33%,83.80%,0.00%,
,5,015641,银华数字经济,07-01,1.3964,1.3964,0.08%,3.09%,5.01%,-3.30%,7.00%,81.14%,42.17%,24.12%,7.00%,39.64%,81.14%,0.15%,
,6,015642,银华数字经济,07-01,1.3868,1.3868,0.07%,3.09%,4.99%,-3.35%,6.82%,80.64%,41.51%,23.30%,6.82%,38.68%,80.64%,0.00%,
,7,020458,平安医药精选,07-01,1.7764,1.7764,2.65%,1.48%,9.15%,18.83%,63.00%,78.17%,---,---,63.00%,77.64%,---,0.15%,
,8,020459,平安医药精选,07-01,1.7731,1.7731,2.65%,1.46%,9.18%,18.74%,62.65%,77.88%,---,---,62.65%,77.31%,---,0.00%,
,9,009414,中银大健康股,07-01,1.6132,1.6132,3.73%,1.33%,4.33%,22.26%,62.97%,74.65%,68.55%,43.27%,62.97%,61.32%,74.65%,0.15%,
,10,010321,中银大健康股,07-01,1.5841,1.5841,3.73%,1.32%,4.30%,22.15%,62.66%,74.00%,67.26%,41.61%,62.66%,30.97%,74.00%,0.00%,
,11,001230,鹏华医药科技,07-01,1.6178,1.6178,5.06%,2.55%,4.40%,24.16%,60.70%,68.33%,53.64%,47.47%,60.70%,61.78%,68.33%,0.15%,
,12,017900,鹏华医药科技,07-01,1.3590,1.3590,5.06%,2.54%,4.36%,24.03%,60.37%,67.65%,52.53%,---,60.37%,35.90%,67.65%,0.00%,
,13,006257,信澳先进智造,07-01,2.0469,2.6672,-0.02%,3.35%,9.34%,2.39%,14.85%,63.31%,19.53%,-7.92%,14.85%,168.10%,63.31%,0.15%,
,14,019916,富国医药创新,07-01,1.5980,1.5980,2.55%,-0.01%,7.77%,21.35%,59.82%,62.63%,---,---,59.82%,59.80%,62.63%,0.15%,
,15,019917,富国医药创新,07-01,1.5841,1.5841,2.55%,-0.03%,7.70%,21.15%,59.32%,61.53%,---,---,59.32%,58.41%,61.53%,0.00%,
,16,014668,银华专精特新,07-01,1.2373,1.2373,0.30%,3.32%,7.42%,13.06%,26.19%,59.38%,22.72%,---,26.19%,23.73%,59.38%,0.15%,
,17,017746,建信电子行业,07-01,1.2205,1.2205,-0.06%,2.50%,7.33%,-6.03%,4.40%,58.94%,18.56%,---,4.40%,22.05%,58.94%,0.15%,
,18,014669,银华专精特新,07-01,1.2264,1.2264,0.30%,3.32%,7.40%,12.98%,26.00%,58.90%,21.98%,---,26.00%,22.64%,58.90%,0.00%,
,19,017747,建信电子行业,07-01,1.2099,1.2099,-0.06%,2.50%,7.30%,-6.12%,4.21%,58.34%,17.64%,---,4.21%,20.99%,58.34%,0.00%,
,20,011377,创金合信积极,07-01,1.0717,1.0717,1.30%,2.57%,4.77%,11.14%,21.63%,58.04%,13.90%,20.33%,21.63%,7.17%,58.04%,0.15%,
,21,017744,嘉实绿色主题,07-01,1.0196,1.0196,-0.54%,3.11%,6.80%,-0.99%,16.43%,58.00%,13.81%,---,16.43%,1.96%,58.00%,0.15%,
,22,011378,创金合信积极,07-01,1.0483,1.0483,1.30%,2.57%,4.73%,11.01%,21.33%,57.26%,12.76%,18.52%,21.33%,4.83%,57.26%,0.00%,
,23,017745,嘉实绿色主题,07-01,1.0053,1.0053,-0.54%,3.10%,6.73%,-1.14%,16.07%,57.05%,12.45%,---,16.07%,0.53%,57.05%,0.00%,
,24,006228,中欧医疗创新,07-01,1.4047,1.4047,2.15%,1.52%,5.55%,7.23%,35.09%,55.13%,3.59%,-30.83%,35.09%,40.47%,55.13%,0.15%,
,25,001040,新华策略精选,07-01,1.5393,1.9773,0.59%,6.26%,19.17%,30.15%,20.22%,54.78%,6.65%,-7.99%,20.22%,92.42%,54.78%,0.15%,
,26,018240,嘉实制造升级,07-01,1.2720,1.2720,-0.16%,3.63%,5.61%,1.52%,22.33%,54.76%,---,---,22.33%,27.20%,54.76%,0.15%,
,27,018048,申万菱信数字,07-01,1.0025,1.0025,-1.65%,1.99%,4.83%,-1.11%,0.44%,54.66%,2.25%,---,0.44%,0.25%,54.66%,0.15%,
,28,014736,创金合信专精,07-01,1.2327,1.2327,0.74%,2.71%,8.00%,2.55%,10.86%,54.43%,-0.77%,32.36%,10.86%,23.27%,54.44%,0.15%,
,29,018241,嘉实制造升级,07-01,1.2627,1.2627,-0.17%,3.62%,5.58%,1.43%,22.13%,54.21%,---,---,22.13%,26.27%,54.21%,0.00%,
,30,018049,申万菱信数字,07-01,0.9937,0.9937,-1.65%,1.98%,4.80%,-1.21%,0.23%,54.01%,1.42%,---,0.23%,-0.63%,54.01%,0.00%,
,31,006229,中欧医疗创新,07-01,1.3350,1.3350,2.15%,1.50%,5.47%,7.00%,34.54%,53.77%,1.85%,-32.53%,34.54%,33.50%,53.77%,0.00%,
,32,014737,创金合信专精,07-01,1.2117,1.2117,0.73%,2.70%,7.95%,2.42%,10.59%,53.65%,-1.78%,30.39%,10.59%,21.17%,53.65%,0.00%,
,33,671030,西部利得事件,07-01,2.5976,2.5976,0.15%,3.74%,7.65%,0.55%,9.71%,53.19%,23.49%,2.65%,9.71%,159.76%,53.19%,0.15%,
,34,013940,东吴医疗服务,07-01,0.7088,0.7088,2.56%,0.83%,7.65%,15.05%,43.95%,52.59%,9.28%,-19.64%,43.95%,-29.12%,52.59%,0.15%,
,35,004450,嘉实前沿科技,07-01,1.9143,1.9143,-0.13%,1.43%,6.01%,5.04%,26.26%,52.58%,24.92%,4.79%,26.26%,91.41%,52.58%,0.15%,
,36,013941,东吴医疗服务,07-01,0.7035,0.7035,2.57%,0.82%,7.65%,15.01%,43.84%,52.21%,8.82%,-20.15%,43.84%,-29.65%,52.21%,0.00%,
,37,010469,圆信永丰聚优,07-01,1.1969,1.1969,1.05%,5.23%,5.01%,10.39%,27.01%,51.18%,23.86%,25.26%,27.01%,19.69%,51.18%,0.15%,
,38,006803,嘉实互通精选,07-01,1.2098,1.2098,-0.30%,0.95%,2.20%,-0.90%,22.15%,51.15%,-3.48%,-7.32%,22.15%,20.98%,51.15%,0.15%,
,39,020315,嘉实前沿科技,07-01,1.8901,1.8901,-0.13%,1.41%,5.95%,4.89%,25.92%,51.15%,---,---,25.92%,20.94%,51.15%,0.00%,
,40,010470,圆信永丰聚优,07-01,1.1769,1.1769,1.05%,5.22%,4.97%,10.29%,26.77%,50.60%,22.88%,23.77%,26.77%,17.69%,50.60%,0.00%,
,41,009557,申万菱信创业,07-01,0.9171,0.9171,0.17%,3.76%,8.93%,6.52%,11.58%,50.20%,16.34%,-6.01%,11.58%,-8.29%,50.20%,0.15%,
,42,009162,富国医药成长,07-01,1.0910,1.0910,3.51%,1.10%,10.82%,23.72%,56.51%,50.15%,37.93%,8.14%,56.51%,9.10%,50.15%,0.15%,
,43,010505,申万菱信创业,07-01,0.8571,0.8571,0.18%,3.75%,8.89%,6.41%,11.36%,49.61%,15.42%,-7.11%,11.36%,-14.29%,49.61%,0.00%,
,44,015052,东方红医疗升,07-01,1.3932,1.3932,2.35%,0.93%,1.30%,14.30%,47.95%,49.42%,34.50%,33.10%,47.95%,39.32%,49.42%,0.15%,
,45,015053,东方红医疗升,07-01,1.3708,1.3708,2.34%,0.93%,1.26%,14.19%,47.62%,48.73%,33.16%,31.13%,47.62%,37.08%,48.73%,0.00%,
,46,004292,鹏华沪深港互,07-01,1.7879,1.7879,-0.04%,3.53%,9.61%,4.31%,11.15%,47.81%,0.83%,-8.34%,11.15%,78.79%,47.81%,0.15%,
,47,001167,金鹰科技创新,07-01,1.6531,1.9891,0.41%,4.12%,11.66%,3.58%,16.74%,47.56%,24.49%,77.62%,16.74%,109.77%,47.56%,0.15%,
,48,020476,泰康半导体量,07-01,1.5067,1.5067,-0.50%,1.61%,4.12%,1.42%,4.38%,47.44%,---,---,4.38%,50.67%,47.44%,0.12%,
,49,013132,创金合信文娱,07-01,1.3948,1.3948,-0.19%,1.64%,3.04%,-0.06%,14.22%,47.32%,33.04%,58.52%,14.22%,39.48%,47.32%,0.15%,
,50,009852,银华品质消费,07-01,0.8711,0.8711,0.86%,3.59%,2.48%,10.34%,34.76%,47.12%,21.58%,-3.88%,34.76%,-12.89%,47.12%,0.15%,
,51,020477,泰康半导体量,07-01,1.4999,1.4999,-0.50%,1.61%,4.09%,1.32%,4.17%,46.86%,---,---,4.17%,49.99%,46.86%,0.00%,
,52,019093,金鹰科技创新,07-01,1.6331,1.9691,0.40%,4.11%,11.60%,3.43%,16.39%,46.70%,---,---,16.39%,30.75%,46.70%,0.00%,
,53,013133,创金合信文娱,07-01,1.3679,1.3679,-0.19%,1.63%,3.00%,-0.19%,13.94%,46.57%,31.72%,56.15%,13.94%,36.79%,46.57%,0.00%,
,54,013465,博时智选量化,07-01,1.1363,1.2315,0.16%,2.53%,5.09%,1.19%,13.37%,46.38%,29.13%,24.99%,13.37%,23.27%,46.38%,0.15%,
,55,020553,南方半导体产,07-01,1.4573,1.4573,0.35%,2.76%,6.98%,1.03%,15.27%,46.33%,---,---,15.27%,45.73%,46.33%,0.15%,
,56,006781,汇丰晋信港股,07-01,0.9476,0.9476,-0.07%,1.65%,7.30%,4.71%,23.64%,46.32%,20.54%,0.61%,23.64%,-5.24%,46.32%,0.15%,
,57,010409,富国消费精选,07-01,1.0328,1.0328,0.55%,2.29%,3.01%,5.77%,29.18%,46.16%,36.34%,15.66%,29.18%,3.28%,46.16%,0.15%,
,58,019338,创金合信启富,07-01,1.2768,1.2768,0.61%,2.17%,6.05%,13.74%,25.25%,46.15%,---,---,25.25%,27.68%,46.15%,0.15%,
,59,019505,国泰君安中证,07-01,1.3180,1.3180,0.59%,3.29%,6.51%,6.95%,15.23%,46.07%,---,---,15.23%,31.80%,46.07%,0.15%,
,60,020554,南方半导体产,07-01,1.4501,1.4501,0.36%,2.76%,6.95%,0.93%,15.04%,45.71%,---,---,15.04%,45.01%,45.71%,0.00%,
,61,013466,博时智选量化,07-01,1.1322,1.2093,0.16%,2.52%,5.04%,1.07%,13.08%,45.65%,27.85%,23.14%,13.08%,21.03%,45.65%,0.00%,
,62,019506,国泰君安中证,07-01,1.3099,1.3099,0.58%,3.28%,6.47%,6.85%,15.00%,45.50%,---,---,15.00%,30.99%,45.50%,0.00%,
,63,019339,创金合信启富,07-01,1.2658,1.2658,0.61%,2.15%,6.00%,13.60%,24.94%,45.43%,---,---,24.94%,26.58%,45.43%,0.00%,
,64,021605,富国消费精选,07-01,1.0255,1.0255,0.55%,2.28%,2.97%,5.59%,28.67%,45.21%,---,---,28.67%,37.12%,45.21%,0.00%,
,65,018728,华夏智胜新锐,07-01,1.2352,1.2352,0.50%,2.63%,7.25%,10.43%,20.05%,44.94%,---,---,20.05%,23.52%,44.94%,0.15%,
,66,013641,博道成长智航,07-01,1.1642,1.1642,0.05%,3.28%,8.08%,7.83%,17.24%,44.91%,24.58%,30.68%,17.24%,16.42%,44.91%,--,
,67,005707,富国港股通量,07-01,1.2588,1.2588,-0.07%,-0.10%,5.03%,5.79%,23.41%,44.61%,43.34%,42.08%,23.41%,25.88%,44.61%,0.15%,
,68,018729,华夏智胜新锐,07-01,1.2255,1.2255,0.50%,2.62%,7.23%,10.34%,19.82%,44.36%,---,---,19.82%,22.55%,44.36%,0.00%,
,69,013642,博道成长智航,07-01,1.1429,1.1429,0.04%,3.27%,8.02%,7.69%,16.94%,44.20%,23.33%,28.72%,16.94%,14.29%,44.20%,0.00%,
,70,008923,建信医疗健康,07-01,1.4120,1.4120,2.92%,2.22%,6.95%,19.82%,43.22%,43.96%,26.22%,37.64%,43.22%,41.20%,43.96%,0.15%,
,71,001628,招商体育文化,07-01,1.7700,1.7700,-0.23%,2.91%,8.92%,7.66%,13.39%,43.67%,-4.63%,25.00%,13.39%,77.00%,43.67%,0.15%,
,72,014163,富国港股通量,07-01,1.2444,1.2444,-0.07%,-0.11%,5.01%,5.72%,23.28%,43.63%,42.12%,40.59%,23.28%,30.59%,43.63%,0.00%,
,73,008924,建信医疗健康,07-01,1.3924,1.3924,2.91%,2.21%,6.87%,19.72%,42.96%,43.41%,25.22%,36.00%,42.96%,39.24%,43.41%,0.00%,
,74,007853,华商计算机行,07-01,1.1588,1.1588,-1.41%,2.68%,4.09%,-4.45%,2.88%,42.62%,-8.28%,10.43%,2.88%,15.88%,42.62%,0.15%,
,75,010003,景顺长城电子,07-01,1.3373,1.3373,0.32%,3.00%,6.69%,-0.44%,13.66%,42.54%,11.75%,21.09%,13.66%,33.73%,42.54%,0.15%,
,76,015395,招商体育文化,07-01,1.7230,1.7230,-0.23%,2.93%,8.84%,7.42%,12.98%,42.40%,-6.15%,22.03%,12.98%,15.79%,42.40%,0.00%,
,77,017628,华商计算机行,07-01,1.1478,1.1478,-1.41%,2.68%,4.05%,-4.54%,2.67%,42.07%,-9.00%,---,2.67%,20.24%,42.07%,0.00%,
,78,010004,景顺长城电子,07-01,1.3124,1.3124,0.31%,2.99%,6.70%,-0.49%,13.47%,42.02%,10.89%,19.70%,13.47%,31.24%,42.02%,0.00%,
,79,017209,国泰君安科技,07-01,1.1646,1.1646,0.13%,3.49%,7.92%,6.23%,14.05%,41.20%,10.33%,---,14.05%,16.46%,41.20%,0.15%,
,80,020748,国联智选先锋,07-01,1.4087,1.4087,0.43%,2.47%,6.14%,5.69%,14.31%,41.07%,---,---,14.31%,40.87%,---,0.15%,
,81,010387,易方达医药生,07-01,0.8161,0.8161,3.15%,1.67%,6.37%,13.08%,37.58%,40.80%,32.27%,26.53%,37.58%,-18.39%,40.80%,0.15%,
,82,013242,北信瑞丰优势,07-01,0.8938,0.8938,0.38%,4.60%,12.09%,7.18%,20.46%,40.53%,23.03%,-0.23%,20.46%,-10.62%,40.53%,0.15%,
,83,019759,中欧半导体产,07-01,1.1838,1.1838,-0.40%,2.17%,4.80%,-0.57%,2.14%,40.53%,---,---,2.14%,18.38%,40.53%,0.15%,
,84,017210,国泰君安科技,07-01,1.1496,1.1496,0.12%,3.48%,7.87%,6.10%,13.78%,40.50%,9.24%,---,13.78%,14.96%,40.50%,0.00%,
,85,011685,创金合信先进,07-01,1.3027,1.3027,-0.09%,5.56%,7.44%,8.55%,18.15%,40.44%,16.57%,24.62%,18.15%,30.27%,40.44%,0.15%,
,86,020749,国联智选先锋,07-01,1.4011,1.4011,0.43%,2.46%,6.10%,5.57%,14.02%,40.36%,---,---,14.02%,40.11%,---,0.00%,
,87,001975,景顺长城环保,07-01,3.4010,3.4010,0.21%,2.84%,3.94%,-1.22%,15.41%,40.25%,8.55%,0.77%,15.41%,240.10%,40.25%,0.15%,
,88,010388,易方达医药生,07-01,0.8014,0.8014,3.15%,1.67%,6.34%,13.03%,37.39%,40.25%,31.25%,25.06%,37.39%,-19.86%,40.25%,0.00%,
,89,001048,富国新兴产业,07-01,2.2930,2.2930,-0.04%,2.78%,4.56%,-4.93%,2.87%,39.90%,1.10%,18.44%,2.87%,129.30%,39.90%,0.15%,
,90,019764,中欧半导体产,07-01,1.1745,1.1745,-0.42%,2.16%,4.74%,-0.70%,1.88%,39.84%,---,---,1.88%,17.45%,39.84%,0.00%,
,91,011686,创金合信先进,07-01,1.2734,1.2734,-0.09%,5.55%,7.39%,8.41%,17.85%,39.75%,15.41%,22.60%,17.85%,27.34%,39.75%,0.00%,
,92,020698,国泰君安科创,07-01,1.3190,1.3190,0.21%,3.19%,7.01%,3.95%,12.37%,39.68%,---,---,12.37%,31.90%,---,0.15%,
,93,019824,国寿安保新材,07-01,1.3961,1.3961,1.33%,3.60%,16.21%,4.12%,16.36%,39.50%,---,---,16.36%,39.61%,39.50%,0.12%,
,94,008283,易方达金融行,07-01,1.5421,1.5421,0.53%,0.34%,6.96%,13.63%,17.50%,39.41%,38.29%,22.72%,17.50%,54.21%,39.41%,0.15%,
,95,009891,融通产业趋势,07-01,1.2962,1.2962,1.29%,5.40%,8.69%,8.40%,17.47%,39.38%,12.45%,19.76%,17.47%,29.62%,39.38%,0.15%,
,96,015686,富国新兴产业,07-01,2.2540,2.2540,0.00%,2.78%,4.55%,-5.05%,2.64%,39.22%,-0.04%,16.43%,2.64%,28.00%,39.22%,0.00%,
,97,006195,国金量化多因,07-01,2.4421,2.4421,0.42%,2.83%,7.47%,13.39%,20.52%,39.18%,17.62%,36.99%,20.52%,144.21%,39.18%,0.15%,
,98,020699,国泰君安科创,07-01,1.3126,1.3126,0.21%,3.18%,6.98%,3.84%,12.15%,39.12%,---,---,12.15%,31.26%,---,0.00%,
,99,011328,景顺长城新能,07-01,1.1625,1.1625,-0.43%,1.34%,3.20%,-1.32%,6.74%,38.87%,2.89%,-22.44%,6.74%,16.25%,38.87%,0.15%,
,100,019825,国寿安保新材,07-01,1.3893,1.3893,1.33%,3.59%,16.15%,4.00%,16.08%,38.85%,---,---,16.08%,38.93%,38.85%,0.00%,
,101,005962,宝盈人工智能,07-01,2.8336,2.8336,-0.07%,2.23%,9.99%,4.38%,8.98%,38.73%,17.07%,-3.40%,8.98%,183.36%,38.73%,0.15%,
,102,011329,景顺长城新能,07-01,1.1573,1.1573,-0.43%,1.34%,3.19%,-1.35%,6.68%,38.73%,2.67%,-22.68%,6.68%,15.73%,38.73%,0.00%,
,103,016858,国金量化多因,07-01,2.4165,2.4165,0.42%,2.83%,7.43%,13.28%,20.28%,38.63%,16.68%,---,20.28%,36.46%,38.63%,0.00%,
,104,014062,景顺长城专精,07-01,0.8065,0.8065,0.57%,4.16%,9.53%,7.20%,20.00%,38.36%,3.12%,-1.97%,20.00%,-19.35%,38.36%,0.15%,
,105,014063,景顺长城专精,07-01,0.7950,0.7950,0.58%,4.15%,9.50%,7.10%,19.76%,37.83%,2.30%,-3.13%,19.76%,-20.50%,37.83%,0.00%,
,106,010709,安信医药健康,07-01,1.2908,1.3488,3.82%,3.16%,4.55%,24.56%,41.64%,37.82%,4.32%,2.58%,41.64%,35.15%,37.82%,0.15%,
,107,019026,易方达金融行,07-01,1.5168,1.5168,0.54%,0.34%,6.92%,13.51%,17.24%,37.69%,---,---,17.24%,36.54%,37.69%,0.00%,
,108,005963,宝盈人工智能,07-01,2.6818,2.6818,-0.07%,2.22%,9.92%,4.18%,8.54%,37.61%,15.20%,-5.70%,8.54%,168.18%,37.61%,0.00%,
,109,011077,汇丰晋信创新,07-01,0.9016,0.9016,-0.09%,1.10%,3.70%,-0.44%,8.60%,37.50%,21.54%,0.51%,8.60%,-9.84%,37.50%,0.15%,
,110,003053,嘉实文体娱乐,07-01,1.9030,1.9030,0.05%,4.39%,6.25%,-1.76%,7.64%,37.40%,-11.86%,19.09%,7.64%,90.30%,37.40%,0.15%,
,111,005457,景顺长城量化,07-01,1.4746,1.7546,0.46%,3.10%,7.22%,5.42%,12.95%,37.40%,11.98%,7.04%,12.95%,79.89%,37.40%,0.15%,
,112,010710,安信医药健康,07-01,1.2627,1.3197,3.81%,3.14%,4.49%,24.38%,41.27%,37.10%,3.27%,1.03%,41.27%,32.16%,37.10%,0.00%,
,113,007831,博道伍佰智航,07-01,1.4774,1.7694,0.44%,3.03%,6.80%,9.30%,16.29%,37.08%,24.10%,19.02%,16.29%,85.17%,37.08%,0.12%,
,114,018495,融通产业趋势,07-01,1.2641,1.2641,1.29%,5.39%,8.64%,8.24%,16.94%,36.87%,9.73%,---,16.94%,20.08%,36.87%,0.00%,
,115,501201,红土创新科技,07-01,1.0887,1.0887,-1.17%,7.80%,13.63%,10.48%,17.08%,36.70%,-31.06%,-41.02%,17.08%,8.87%,36.70%,0.15%,
,116,007832,博道伍佰智航,07-01,1.4476,1.7396,0.44%,3.02%,6.78%,9.22%,16.12%,36.67%,23.36%,17.97%,16.12%,82.02%,36.67%,0.00%,
,117,003054,嘉实文体娱乐,07-01,1.8250,1.8250,0.05%,4.41%,6.17%,-1.88%,7.35%,36.60%,-12.76%,17.29%,7.35%,82.50%,36.60%,0.00%,
,118,002861,工银智能制造,07-01,1.6640,1.6640,0.06%,5.38%,9.83%,5.45%,11.01%,36.51%,19.03%,-1.48%,11.01%,66.40%,36.51%,0.15%,
,119,011042,国泰价值先锋,07-01,0.9287,0.9287,0.24%,0.35%,7.39%,7.07%,27.31%,36.43%,5.40%,-6.95%,27.31%,-7.13%,36.43%,0.15%,
,120,001672,国寿安保智慧,07-01,1.4650,2.2720,0.55%,4.57%,7.80%,-0.54%,10.40%,36.41%,13.73%,13.11%,10.40%,160.52%,36.41%,0.15%,
,121,002387,工银沪港深股,07-01,1.0573,1.1253,-0.08%,-0.70%,3.01%,4.98%,21.81%,36.20%,25.78%,-6.03%,21.81%,12.19%,36.20%,0.15%,
,122,009601,招商科技动力,07-01,1.3103,1.3103,-0.33%,1.09%,3.73%,0.89%,10.30%,36.19%,63.24%,51.53%,10.30%,31.03%,36.19%,0.15%,
,123,004616,中欧电子信息,07-01,2.4983,2.5673,-0.42%,2.86%,7.84%,1.73%,12.17%,36.02%,-8.34%,24.38%,12.17%,157.58%,36.02%,0.15%,
,124,017488,嘉实信息产业,07-01,1.4221,1.4221,-1.15%,2.98%,6.13%,-0.48%,-0.96%,35.89%,-1.10%,---,-0.96%,42.21%,35.89%,0.15%,
,125,016336,博时卓远成长,07-01,1.2201,1.2201,0.99%,4.51%,7.37%,10.61%,14.48%,35.75%,5.47%,---,14.48%,22.01%,35.75%,0.15%,
,126,001917,招商量化精选,07-01,2.9116,2.9816,1.02%,3.27%,7.65%,4.27%,15.46%,35.56%,24.87%,39.66%,15.46%,209.76%,35.56%,0.15%,
,127,002210,创金合信量化,07-01,1.2505,1.8811,0.11%,2.38%,7.33%,6.55%,14.45%,35.50%,7.89%,2.39%,14.45%,98.73%,35.50%,0.15%,
,128,013339,创金合信芯片,07-01,0.9890,0.9890,-1.04%,2.57%,6.15%,-1.77%,0.57%,35.46%,5.57%,12.48%,0.57%,-1.10%,35.46%,0.15%,
